word,meaning
sword,剣
Sydney,シドニー 《オーストラリア東岸にある都市》
symbol,シンボル、しるし
system,"1.　組織　　　
2.　制度、システム"
T-shirt,Ｔシャツ
table,テーブル、食卓
table tennis,卓球
tail,尾（ひれ）、しっぽ
tale,物語、お話
talk,話、スピーチ
Tanzania,タンザニア
task,仕事、任務
taste,味
taxi,タクシー
tea,茶、紅茶
teacher,教師、先生
teachers' room,職員室
team,チーム
teammate,チームメイト
teamwork,チームワーク
tear,涙　【in tearsで】涙を流して
technology,科学技術
teeth,歯（toothの複数形）
telescope,望遠鏡
temperature,温度、気温
temple,寺
ten,10
tennis,テニス
tenth,10番め、（月の）１０日
test,試験、テスト
textbook,教科書、テキスト
Thailand,タイ
thank,〔Thanks の形で〕ありがとう
theater,劇場、映画館〔movie theaterともいう〕
theme,主題、テーマ
then,そのとき、当時
thing,もの、こと
thinking,考え、思考
third,３番目、３日
thirteen,13
thirteenth,13番め、（月の）13日
thirtieth,30番目（の）、30日
thirty,30
thought,"1. 考えること、思考
2. 考え､思想　　 "
thousand,1000
three,3
throat,のど
Thursday,木曜日
ticket,切符、チケット、券
tie,ネクタイ
time,"1. 回、度
2. 時間、期間、暇
3. 時刻
4. 〔しばしば複数形で〕 時代"
timing,タイミング、時機を選ぶこと
title,題名、タイトル
toast,トースト
today,今日
toilet,トイレ、化粧室
tomorrow,明日
tongue,国語、母語
tool,手段、道具
tooth,歯   〔複数形は teeth〕
toothache,歯痛
toothbrush,歯ブラシ
top,"1. 一番上の部分、頂上
2. 最高位、トップ"
total,総合、合計　〔in total〕合計で、全部で
touch,接触　　〔keep in touchで〕連絡をとり続ける
tour,旅行
tourism,観光事業、観光、旅行
tournament,トーナメント、勝ち抜き試合
towel,手拭い、タオル
tower,塔、タワー
town,町、市、都会
toy,おもちゃ
track,線路
track and field,陸上競技
trade,貿易
tradition,伝統
traffic,交通  〔traffic light〕交通信号（灯） 
tragedy,悲劇、悲しいできごと
train,列車、電車
trainer,トレーナー
transportation,輸送機関
treasure,宝物
tree,木、樹木
trip,旅行 《比較的短期間のものについていう》　　〔たとえば go on a school trip の形で〕修学旅行に行く
trophy,優勝記念品、トロフィー
trouble,"1. 心配
2. もめごと
3.余分な手間、めんどう"
Tube,チューブ（ロンドンの地下鉄のニックネーム）
Tuesday,火曜日
tug-of-war,綱引き
tuna,マグロ
turkey,七面鳥
turn,番、順番　　〔in turnで〕代わって今度は
turning,曲がり角、回転    〔turning pointで〕転機
turtle,カメ
TV,テレビ（番組）
twelfth,12番め、（月の）12日
twelve,12
twentieth,20番目
twenty,20
twenty-eighth,28番目（の）、28日
twenty-fifth,25番目（の）、25日
twenty-first,21番目（の）、21日
twenty-fourth,24番目（の）、24日
twenty-ninth,29番目（の）、29日
twenty-second,22番目（の）、22日
twenty-seventh,27番目（の）、27日
twenty-sixth,26番目（の）、26日
twenty-third,23番目（の）、23日
two,2
type,型、タイプ、種類
U.K.,イギリス〔The United Kingdom（連合王国）の略でイギリスの正式国名は The United Kingdom of Great Britain and Northern Ireland 〕
U.S.,〔通常はtheを付けて〕アメリカ合衆国
umbrella,かさ
uncle,おじ、おじさん
underground,〔通常はtheを付けて、イギリスの〕地下鉄
unicycle,一輪車
uniform,制服、ユニフォーム
United Nations,〔通例はtheを付けて〕国際連合
United States,アメリカ合衆国
universal design,ユニバーサルデザイン
university,大学
US(U.S.),《略》〔the ～で〕アメリカ合衆国、米国　《the U.S.とも》
USA(U.S.A.),《略》〔the ～で〕アメリカ合衆国、米国　《the U.S.A.とも》
use,使用、使い道
vacation,休暇、休み
Valentine,Happy Valentine's Day!　〔バレンタインデーのメッセージ〕
vegetable,野菜
vending machine,自動販売機
Venezuela,ベネズエラ〔南米の国の名〕
vet,獣医（veterinarianの略）
victory,勝利、優勝
video,ビデオ  〔 video game の形で〕　テレビゲーム
video game,映像、動画　〔video game 〕テレビゲーム
Vietnam,ベトナム〔東南アジアの国の名〕
view,"1. ながめ、景色
2. 考え、見方"
village,村
vinegar,食用酢、ビネガー
violin,バイオリン
visit,訪問 〔 pay a visit to の形で「～を訪問する」〕　
visitor,訪問者
voice,声
volleyball,バレーボール
volume,〔書物の〕巻、冊
volunteer,ボランティア、志願者
waitress,ウエイトレス
walk,"1. 歩くこと、散歩
2. 歩行距離、道のり"
Walker,ウォーカー（姓）
wall,壁、へい、城壁
war,戦争
ware,～焼、～製品
warming,〔global warming で〕地球温暖化
warrior,武人、軍人
"Washington, D.C.",ワシントンD.C.（米国の首都）
waste,浪費
watch,腕時計
water,水、水中
waterfall,滝
wave,波
way,"1. 方向
2. 道
3. 方法、手段　"
weather,天気、気象
website,ウェブサイト
Wednesday,水曜日
week,週
weekend,週末
whale,クジラ
wheel,車輪
wheelchair,車イス
while,間、しばらく 〔たとえば for a while の形で〕 しばらくの間
white,白、白人
wife,妻
wild,〔the wild で〕野生
wildcat,ヤマネコ　〔Wildcat House〕山猫軒
wilderness,荒野
wildlife,野生動物
will,意志
wind,風
windmill,風車
window,窓
winner,勝つ〔勝った〕人、勝利者
winter,冬
wire,針金、ワイヤー
wish,願い、望み
woman,女性、女の人　　〔複数形は women 〕
women,〔woman 〕の複数形
wonder,驚き
wood,まき、木
word,"1. ことば、発言
2. 語、単語　　"
work,"1. 仕事、勉強
2. 作品　　 "
worker,労働者
world,世界（の人たち）
World Cup,〔the　～で〕ワールドカップ
World Heritage Site,世界遺産
wrestling,レスリング
writer,作家、著述家
writing,書かれた文字、筆跡、書くこと
yacht,ヨット
year,"1. 年、1年
2. ～歳、年齢　 "
yellow,黄色
yesterday,昨日
yogurt,ヨーグルト
zero,0、ゼロ
zoo,動物園
all,"1. 全部、全員、すべて、みな
2. 〔not ～ at all の形で〕 少しも～でない。"
another,もう１つのもの［人］、別のもの［人］　〔one after another の形で〕 次々と
any,〔疑問文で〕 いくらか
anyone,"1. 〔肯定文で〕 だれでも
2. 〔疑問文で〕 だれか
3. 〔否定文で〕 だれも"
anything,"1. 〔肯定文で〕 何でも
2. 〔疑問文で〕 何か
3. 〔否定文で〕 何も"
as,〔such ～ as … の形で〕 …ような～
both,両方、2 人［2つ］とも
each,それぞれ、めいめい  〔each other で〕 お互いに
everybody,だれでも、みんな
everyone,みなさん、みんな、だれでも　〔単数扱いで、everybody という言い方もある〕
everything,あらゆること［もの］、何もかも　　〔単数扱い〕
he,彼は［が］、その（男の）人は［が］
her,"1. 彼女を［に］
2. 彼女の　　　　　　　　　　　　　　　　　　　　　　　"
hers,彼女のもの
herself,彼女自身を［に］、彼女自身で
him,彼を［に］
himself,彼自身を［に］、彼自身で
his,"1. 彼の
2. 彼のもの　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　"
I,私は［が］
it,"1. 《前に出た語句や文の内容を受けて》それは［が］
2. 《前に出た語句や文の内容を受けて》それを［に］
3. 〔It is ～ (for Ａ）to do…の形で〕 Ａ［人］が…するのは～だ
4. 《時・天候・季節・距離などを表して、日本語では「それ」とは訳さない》　 　 　 "
its,その、それの
least,いちばん少ないもの [at leastの形で]少なくても
little,"1. 〔 a littleの形で〕 少量、いくらか
2. 〔 a をつけないで〕 ほとんど～ない        "
many,たくさん（の人、物）
me,わたしに［を］
mine,わたしのもの
more,もっと多くの数（量）、もっと多くのこと（もの、人）
most,大部分、大多数
my,私の
myself,私自身（で）　〔by myselfの形で〕 （私）ひとりで
next,次の（人）
nobody,だれも～ない
nothing,何も～ない
one,"1. １つ､１人､～なもの
2. （一般に）人､だれでも
3. 〔one after another の形で〕次々と　"
other,"1. 〔複数形 others の形で〕 ほかのもの、ほかの人たち
2. 〔the other の形で〕 《２つのものについて》 もう一方   《３つ以上のものについて》 残りの１つ
3. 〔複数形 the others の形で〕 《３つ以上のものについて》 残りのもの（全部） "
our,私たちの、ぼくたちの
ours,私たちのもの、ぼくたちのもの
ourselves,私たち自身に［を］、ぼくたち自身に［を］
some,"1. （全体の中の）一部分、一部の人々
2. いくつか、いくらか、いく人か　　　"
someone,だれか
something,何かあるもの［こと］
that,"1. あれ、それ
2. あの［その］こと
3. あの［その］人、あちら、そちら
4. 〔関係代名詞で〕～である［する］（ところの）"
their,彼らの、彼女らの、それらの
theirs,彼らのもの、彼女らのもの、それらのもの
them,それらを［に］、彼らを［に］、彼女たちを［に］
themselves,彼ら〔彼女ら〕自身（で）
these,これらが［は］[を][に]
they,彼らが［は］、彼女たちが［は］、それらが［は］
this,"1. これ
2. 《電話やテレビ・ラジオの放送などで話している本人をさして》こちら、《同様の状況で話している相手をさして》そちら
3. この人、こちら
4. すでに述べたこと、このこと、これから述べること　　　　　"
those,あれら、それら
us,私たちを［に］
we,私たちは［が］
what,何が［を、に］
which,"1.〔関係代名詞で〕～である［する］(ところの) 
2. どちら、どれ"
who,"1. だれ
2.〔関係代名詞で〕～である[する](ところの)　　　"
whose,だれのもの、だれの
you,"1. あなた(たち)に［を］
2. あなた(たち)は［が］
3. 《話し相手を含めた一般の人をさして》　(広く一般の)あなたたちは［が］ "
your,"1. あなた（たち）の
2. 《話し相手を含めた一般の人をさして》 (広く一般の) あなたたちの 　   "
yours,あなた（たち）のもの
yourself,あなた自身を［に］
accept,受け入れる
act,（役を） 演じる
add,加える
agree,賛成する、同意する、意見が一致する　〔agree with ～の形で〕 ～に賛成する
allow,～を許可する
am,〔必ず I とともに使って〕 ～です、～だ、～である、（～に）いる
amaze,～を驚嘆させる、びっくりさせる
answer,～に答える、応答する　〔answer the phone の形で〕 電話に出る　  
are,"1. 〔you, we, they や複数名詞とともに使って〕 ～です
2. 〔there, here とともに使って〕 （～に）…がいる［ある］"
arrest,逮捕する
arrive,"着く、到着する　〔たとえば arrive at school, arrive in New York などの形で〕 学校に到着する、ニューヨークに到着する"
ask,"1. ～をたずねる、問う
2. 求める 〔ask A for B の形で〕 A［人］にB［ものごと］を求める
3. たのむ　〔May I ask you a favor? の形で〕 あなたに一つお願いしてもよろしいですか
4. 〔ask A to do ～ の形で〕　Ａ［人］に～するように頼む"
assist,（人を）助ける、手伝う
attend,出席する、参加する
attract,"1.（人を）ひきつける
2.（注意などを）ひく"
bake,～を焼く
base,基礎［根拠］を置く　〔be based on ～で〕～に基づく
be,"1. ～になる、～である
2. 〔Be ～の形で命令文を作る〕 ～で［て］いなさい 
3. ～にいる、～にある"
become,〔名詞・形容詞・過去分詞などをあとにつけて〕 ～になる、～に変わる  〔過去分詞形もbecome〕
begin,"1. はじまる〔自動詞〕 
2. ～をはじめる〔他動詞〕 "
believe,～を信じる
belong,〔belong to～の形で〕～の一員である
blow,"1. （風が）ふく
2. （人・動物などが息・水など）を吐く"
blush,顔を赤らめる
boil,～をゆでる、沸騰させる
born,〔be bornの形で〕 誕生する、生まれる
borrow,～を借りる
bother,じゃまをする
break,～をこわす、折る、破る
bring,《向こうからこちらへ》 ～を持ってくる、つれてくる   
broaden,～を広くする、広げる
brush,（ブラシで）みがく
build,～を建てる、～を築き上げる
burn,～を燃やす
bury,埋める
buy,～を買う
call,"1. （大声で）呼ぶ
2. ～を呼び寄せる 　
3. 電話をかける
4. 〔call A B の形で〕 ＡをＢと呼ぶ、名づける
5. [call ～ backの形で] ～におりかえし電話する"
calm,静まる、落ち着く
camp,キャンプ（生活）する
care,[care for ～の形で]　～の世話をする
carry,運ぶ、持って行く、持ち歩く
catch,～をとらえる、つかまえる
cause,～を引き起こす、～の原因となる
celebrate,～を祝う
change,"1. 変わる〔自動詞〕
2. ～を変える 〔他動詞〕 
3. （電車など） を乗り換える"
check,～を調べる、チェックする、確認する、照合する
cheer,～を元気づける、声援を送る、応援する、励ます
choose,～を選ぶ
clap,（手を）たたく、拍手する
clean,～をきれいにする、そうじする
climb,（高いところ） に登る、よじ登る
close,（窓、ドアなど） を閉める、閉じる、閉まる
collect,（～を）集める、収集する
come,"1. 来る　〔come and ～ の形で〕 ～しに来る  〔come to school の形で〕 学校に来る  〔come back の形で〕 戻ってくる
2. (相手のいる所へ・相手と同方向へ) 行く
3. (時・季節などが) 巡ってくる
4. 〔Come on.の形で〕 さあ急げ、さあ
5. 〔come from～ の形で〕 ～から来ている、～出身である　  〔過去分詞形もcome〕
6. [～の状態に]なる　〔come trueの形で〕実現する"
communicate,(知識・情報・人の気持ちなど) を伝える、意思を伝え合う
compare,比較する、比べる
complain,不平を言う
connect,結びつける、つながる
contact,（人と）連絡をとる、接続する
continue,～を続ける、続く
cook,（～を）料理する
cost,（金額・費用）がかかる
count,（～を）数える
cover,（物の外側）をおおう
create,～をつくり出す
cross,～を横切る
cry,"1. （大声で）叫ぶ、大声で言う
2. （声をあげて）泣く"
cut,～を切る 　〔過去形、過去分詞形も cut〕
dance,踊る、ダンスをする
decide,決める　〔decide to ～〕 ～しようと決心する
depend,～による、～しだいである
design,～をデザインする、設計する
despair,絶望する
destroy,破壊する、こわす
did,〔do （する) の過去形〕
die,（人や動物が） 死ぬ、亡くなる、（植物が） 枯れる
direct,(映画などを)監督する、演出する
disagree,意見が合わない、賛成しない、反対する
disappear,消える、なくなる、消滅する、存在しなくなる、見えなくなる
discover,～を見つける、～を見いだす
do,～をする
done,〔doの過去分詞形〕
drank,drinkの過去形
draw,"1. （鉛筆、ペンなどで絵など）をかく、（線）を引く
2. ～を引く、引っ張る"
drink,～を飲む
drive,(自動車)を運転する
drop,～を落とす、落ちる
eat,～を食べる、食事をする
encourage,勇気づける、はげます、激励する
end,終わる、終える
enjoy,～を楽しむ、～を楽しんでいる
enter,（建物・部屋・場所など）に入る
excuse,許す　〔Excuse me.の形で〕 失礼ですが、すみませんが
experience,経験する
explain,～を説明する
express,～を表現する、言い表す
face,（危険・困難などに)立ち向かう、直面する
fade,消えていく
faint,気をうしなう、気絶する
fall,落ちる
fascinate,魅了する、うっとりさせる
feed,えさをやる、食物を与える
feel,"1. ～と感じる、～と思う
2. ～を感じる　　"
fight,戦う
fill,いっぱいになる
find, ～を見つける、見いだす
finish,～を終える、終わらせる、終わる
fish,魚釣りをする
fit,（サイズ、形が）合う
fly,飛ぶ、（飛行機で）行く
follow,～についていく、（～と一緒に）異動する、～に従う
force,強制する、無理に～させる[する]
forget,～を忘れる、思い出せない
form,（人がもの）を形作る
fulfill,（望みなどを）実現する
gather,～を集める、集まる
get,"1. ～を得る、手に入れる
2. ～（の状態）になる
3. わかる、理解する
4. 着く、到着する　〔たとえばget to Shiriyazaki, get home の形で〕 尻屋崎に着く、家に着く
5. 〔get up の形で〕起きる
6. (タクシーなどを)ひろう、利用する
7. 〔get together の形で〕集まる"
give,"1. ～を与える、贈る　〔give A B, give B to A の形で〕ＡにＢを与える
2. (会などを)開く、もよおす、演ずる、行う"
go,"1. 行く　〔たとえばgo to school の形で〕学校へ行く
2. 〔be going to do ～ の形で〕 ～するつもりである
3. 〔go doing ～ の形で〕～しに行く"
graduate,卒業する
greet,～に挨拶する、～をむかえる
grin,にこっと笑う、にやっと笑う
grow,"1. 成長する、大きくなる、育つ
2. ～を栽培する、育てる
3. （しだいに）～になる"
guess,～をあてる、推測する
happen,(事件などが) 起こる、生じる
hate,～するのが嫌いだ、～したくはない
have,"1. ～をもっている、～がある、～がいる
2. ～を食べる、飲む
3. ～を過ごす、経験する
4. (病気)にかかっている、～が痛む
5. 〔have to do ～ の形で〕 ～しなければならない
6. ～を飼っている              　                                       　 　                                        　                       　                                                                                                          "
head,～向かう
heal,～をいやす
hear,"1. ～を聞く、～が聞こえる
2. 《情報・うわさなど》を耳にする
3. 〔hear from～の形で〕 ～から返信［便り］をもらう"
heat,熱する、あたためる
help,"1. ～を助ける、援助する
2. （～を）手伝う、助ける　〔May I help you? の形で〕 《店員が客に対して》 いらっしゃいませ　〔help A with B の形で〕 ＡのＢを手伝う　
3.〔Please help yourself. の形で〕 どうぞご自由にとって食べて（飲んで）ください　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 "
hit,～に当たる、ぶつかる　〔過去形、過去分詞形もhit〕
hold,"1. (手などでしっかりと）持つ、にぎる、抱く、抱きかかえる
2. 開催する、催す
3.（電話を）切らないで待つ　　　　　　　　　　　"
hope,～を望む、～だとよいと思う
hug,（愛情を込めて）抱きしめる
hunt,狩りをする
hurry,急ぐ
hurt,"1. 痛む 〔過去形、過去分詞形もhurt〕
2. ～を傷つける、～にケガをさせる　　　　　　　　　　　　　　　　　　　　　　　　　　　 "
imagine,想像する
impress,感銘を与える、印象づける
improve,よくなる、改善される
increase,増やす
influence,～に影響を与える
injure,傷つける、けがをさせる
interview,インタビューする、面接する
introduce,～を紹介する、～を取り入れる、導入する
invite,～を招く
is,"〔he, she, it や単数名詞等とともに使って〕 1. ～です、～だ、～である
2. 〔there, here とともに使って〕（～に）…がいる［ある］"
join,"1. ～に加わる、参加する
2. ～をつなぐ"
judge,(物のよしあしを)判断する
jump,とぶ、とび超える、はねる
keep,"1. (法律・慣習・命令など)を守る、保存する、保つ、しまっておく
2. ～をもち続ける、ずっと～である、～している"
kick,～を蹴る
kid,からかう、冗談を言う
kill,～を殺す
knit,編む、編み物をする
knock,ノックする、たたく
know,～を知っている、わかる　　  
land,着陸する
last,続く
laugh,笑う
lay,(卵を)産む
lead,指揮をする、先頭に立つ
learn,"1. ～を学ぶ、習う、覚える
2. 知る、聞く"
leave,"1. ～を出発する、出る、去る
2. ～を残す、～を置いていく
3. （学校・仕事など）をやめる"
lend,～を貸す
let's,（let us を短くした形）～しましょう
lie,（人・動物が）横たわる、横になる
lift,持ち上げる
like,～を好む、～が好きだ
listen,〔listen to ～ の形で〕 ～を聞く、耳を傾ける
live,"1. 住んでいる、暮らしている、生活する
2. 生きる、生きている"
locate,(何かをある場所に)置く、be　located in ～で　～に位置する、、～にある　
lock,lock up~で　～を閉じ込める、監禁する
look,"1. （意識的に）見る 〔look at ～ の形で〕～を見る
2. 〔look + 形容詞の形で〕　（外見が）～に見える
3. 〔look for ～ の形で〕～をさがす
4. 《人の注意をひくときに使って》 ねぇ、ほら見て"
lose,"1. ～を失う　[lose one's wayの形で]道に迷う
2. (勝負に）負ける"
love,"1. ～を愛する、～が大好きである
2.　〔I would love to do ～の形で〕～したいと思う"
make,"1. ～を作る
2. ～を…にする　〔make A B の形で〕 Ａ［人・ものなど］をＢにする　〔ただし A＝B の関係が成り立たない場合は、「ＡにＢを作ってあげる」の意味になる〕
3. 〔動作を表す名詞を目的語として〕～をする　〔たとえば make a wish の形で〕 願いごとをする
4. ～を得る、作る　〔たとえば make friends （with ～) の形で〕 (～と）仲良しになる
5. ～を整える、用意する  〔たとえば make tea の形で〕 お茶を入れる
6.［たとえばmake A of Bの形で］BでAを作る
7.［たとえばmake A from Bの形で］BからAを作る
8.［たとえばmake A into Bの形で］AでBを作る
9.～をもたらす、生じさせる"
manage,どうにかやっていく、なんとかうまく～する
marry,結婚する
mean,"1. ～を意味する、表す
2. ～のつもりで言う、～をさして言う"
meet,"1.～に会う、面会する
2.～と知り合いになる"
melt,溶ける
miss,"1.　乗りそこなう、取り［見・聞き］そこなう､欠席する
2.　～がいなくてさびしく思う"
mistake,～を間違える　［mistake A for Bの形で］AをBと間違える
mix,～を混ぜる
move,"1. 動く、移動する
2. ～を感動させる
3.引っ越す"
name,〔name A B の形で〕ＡをＢと名づける、呼ぶ
need,～が必要である　　[need to～の形で］～する必要がある
nod,うなずく
notice,気がつく
open,"1. あける、広げる
2. 開く、あく
3. 開始する"
order,命ずる、注文する
organize,組織する、準備する
overcome,打ち勝つ、乗り越える
package,(製品など)(…で）包装する
paint,(絵の具で絵)をかく
panic,うろたえる、あわてふためく
pardon,～を許す  〔Pardon me?の形で〕 すみませんが、もう一度言ってください。
park,(自動車）をとめておく､駐車する
pass,"1. ～を手渡す､回す
2. ～経過する
3. 通り過ぎる、通る"
pay,支払う、払う
perform,演じる、演奏する
photograph,写真を撮る
pick,"1. ～を摘む、つみ取る
2. ～を選ぶ
3. 〔pick up ～ の形で〕～を拾い上げる、～を車で迎えに行く"
place,置く、並べる
plan,～を計画する
plant,～を植える
play,"1. (スポーツ・ゲームなど)をする
2. (曲・楽器など)を演奏する
3. 遊ぶ
4. ～（の役）を演じる　"
point,指さす､さし示す
post,（ウエブ上に写真などを）投稿する、投函する
practice,（～を）練習する
pray,祈る
prefer,（～のほうを）好む、選ぶ
prepare,準備をする
produce,～を産み出す、生産する
protect,～を守る、保護する
pull,～を引く
punish,罰する
push,～を押す
put,～を置く、つける　 　〔過去形、過去分詞形も put〕
quit,やめる、去る　〔過去形、過去分詞形もquit〕
quiz,～に簡単なテストを行う、～に質問する
rain,雨が降る 　〔it が主語になる〕
raise,"1.～を上げる　 　〔たとえば Raise your hand. の形で〕 手を上げなさい
2. （子どもを）育てる"
read,～を読む   〔発音は ［ri:d］〕
realize,実感する、理解する
receive,～を受け取る、もらう
recognize,～を認める、評価する
recycle,～を再生する、～を再利用する
reduce,～を小さくする、下げる、減らす
relax,くつろぐ、リラックスする
release,〔ＣＤ／レコードを〕発売する
remain,残る、とどまる
remember,～を思い出す、覚えている、忘れない
remind,思い出させる、気づかせる
remove,～を取りはずす、～を取り除く、～をかたづける
reply,～と答える
report,～を報告する、報道する
rescue,救い出す、救助する
respect,～を尊敬する、～を大切にする
respond,こたえる
rest,休む、横になる
return,帰る、戻る
reuse,～を再利用する
ride,～に乗る
ring,鳴る　〔過去形rang〕
rise,（太陽などが）のぼる
roll,巻く、くるむ
rule,～を支配する、統治する
run,"1. (人・動物が）走る　　〔過去分詞もrun〕
2. ～を経営する
3. （川などが）流れる"
save,"1. (危害・困難などから人・物・自然など)を救う
2. (エネルギー･時間など)を節約する、無駄にしない"
say,"1. 〔人が主語で〕～と言う
2. 〔物が主語で〕～と書いてある、示している"
scare,～を怖がらせる
score,〔競技、試験などで～点を〕取る、得点する
search,さがす 〔search for ～で〕～をさがす
see,"1. ～を見る、見物する
2. ～が見える
3. ～が分かる、理解する
4. ～に会う"
seem,～のように見える、～のように思われる
select,選ぶ、選択する
sell,～を売る
send,～を送る
sent,〔sendの過去形、過去分詞形〕
separate,～を分ける
set,～を準備する
shake,～を振る
share,いっしょに使う、共有する、互いに分け合う
she,彼女は［が］、あの女の人は［が］、あの女の子は［が］
shine,光る、輝く
shock,ショックを与える
shoot,～を撃つ
shop,買い物をする　〔例えば go shopping の形で〕 買い物に行く
shout,～と叫ぶ、大声で言う
show,"1. ～を見せる、示す、教える  〔show A B の形で〕ＡにＢを見せる
2. ～を案内する"
shut,～を閉める、閉まる 　〔過去形、過去分詞形もshut〕
sigh,ため息をつく
sing,（～を）歌う
sit,すわる、腰をおろす
skate,スケートですべる、スケートをする
sleep,眠る
smell,～のにおいがする
smile,ほほえむ、にっこり笑う、微笑する
solve,～を解決する
sort,～を分類する、えり分ける
sound,～に聞こえる、～に思われる
speak,(ことば)を話す、話をする
spell,(文字など)をつづる
spend,"1. (お金）を使う、費やす
2. (時間・日など) を過ごす、送る"
spread,広がる
stand,"1. 立っている
2. 立つ
3.我慢する､耐える"
start,"1. 始まる  〔自動詞〕
2. ～を始める  〔他動詞〕"
stay,"1. (場所に)とどまる
2. 滞在する、泊まる"
step,（一歩・少し）歩む
stop,"1. とまる  〔自動詞〕
2. ～をやめる、とめる  〔他動詞〕"
strive,懸命に努力する
study,～を勉強する、調べる、研究する
suffer,苦しむ
suggest,提案する
support,(人や考え)を支持する、支援する
surf,サーフィン〔波乗り〕をする
surprise,～を驚かす、びっくりさせる　 〔be surprised at ～ の形で〕 (知らせなど)に驚いている
surround,～を囲む、取り巻く
survive,生き残る
swallow,～をごくりと飲み込む
swim,泳ぐ
take,"1.  (時間、労力)がかかる
2.  ～を持っていく、連れて行く
3.  (乗り物)に乗る、乗っていく
4.  (写真)をとる
5. 買う
6. 服用する
7. ～をする、行う　〔take a bathの形で〕風呂に入る
8. （試験、授業などを）受ける
9. 持って行く、持ち去る
10. 受け取る"
talk,話す、話をする
taste,"1. 味わう、食べる
2. （～の）味がする"
teach,～を教える　 〔teach A B の形で〕 ＡにＢを教える　
tell,"1. ～に話す、～を話す、教える　〔tell Ａ Ｂの形で〕 Ａ［人］にＢ［ものごとなど］を話す
2. 〔tell Ａ to do ～の形で〕 Ａ［人］に～するように言う"
thank,～に感謝する
think,～と考える、思う
touch,～にさわる、触れる
train,"1. ～を訓練する
2. 練習する"
translate,～を翻訳する、訳す
trap,～をわなで捕まえる、閉じこめる
travel,旅する、移動する
trust,～を信頼する
try,～をやってみる、挑戦する、ためしてみる、(try to～の形で）～しようとする
turn,"1. 曲がる、向きを変える
2. 回る、回転する
3. 回す、ひねる"
understand,～を理解する、～がわかる
unplug,（～の）プラグを（コンセントから）抜く
upset,気を動転させる、うろたえさせる
use,～を使う
visit,"1. (場所、人など)をおとずれる
2. (ウェブサイトなど)をおとずれる"
wait,待つ　　〔wait for ～の形で〕～を待つ
wake,〔wake you up〕あなたを起こす
walk,"1. 歩く、歩いて行く［来る］
2. 散歩させる"
want,"1. ～がほしい
2. 〔want to do ～の形で〕 ～したい
3. 〔want A to do ～の形で〕 Ａ［人］に～してほしい"
wash,～を洗う
watch,"1. (注意して、動いているもの)を見る
2. ～見はる"
water,～に水をやる
wear,～を着ている、身につけている
welcome,歓迎する
whisper,（～と）ささやく、ひそひそ声でで言う
whistle,口笛を吹く、口笛を吹くように鳴く
win,勝つ、～を勝ち取る
wish,～を願う、望む　〔たとえば I wish you a happy new year.の形で〕新年おめでとう
wonder,（～する）かしら（と思う）、～かどうかを知りたいと思う
work,"1. 働く、勉強する
2. うまくいく、機能する、作動する、動く"
worry,心配する、悩む
wrap,包む、包装する
write,～を書く
am,"1. 〔現在進行形やbe going to do ～の形で用いる〕
2. 〔受け身の文を作る〕　"
are,"1. 〔現在進行形やbe going to do ～の形で用いる〕
2. 〔受け身の文を作る〕　　"
be,"1. 〔進行形 (be+doing) や be going to do ～の形で用いる〕
2. 〔受け身(be+ 過去分詞) の形で用いる〕　"
can,"1. ～できる、～してもよい
2. 《許可を表して》 〔Can I ～? の形で〕 ～してもよいですか
3. 《依頼を表して》 〔Can you～? の形で〕 ～してくれますか
4. よく～である、～でありうる"
cannot,～できない
could,"〔can の過去形〕  
1. 《ていねいな依頼として》 〔Could you ～? の形で〕 ～していただけませんか
2. 《能力・可能を表して》 ～することができた"
did,〔doの過去形で、疑問文や否定文を作るのに使う〕
do,"1. 〔疑問文と応答に用いる〕
2. 〔否定文に用いる〕
3. 〔否定の命令文を作る〕
4. 〔前に出た動詞句をくり返す代わりに用いる〕
5. [付加疑問文で]　(～は…する)ね。"
does,〔主語が3人称単数の時の do の形で、疑問文や否定文を作るのに使う〕
has,〔現在完了の文において、主語が３人称単数の時の has の形で、疑問文や否定文を作るのに使う〕
have,"1. 〔have＋過去分詞の形で〕 《ある動作や状態が、過去から現在までずっと続いていることを表して》 ずっと～している、ずっと～だ
2. 〔have＋過去分詞の形で〕 《ある動作や状態が終わったこと、またそれが終わった今の状態を示して》 （ちょうど）～したところだ、（もう、すでに）～してしまった
3. 〔have＋過去分詞の形で〕 《過去から現在までにした経験を表して》 ～したことがある　　　　　　　　　　　　　　　　　　　　　　　　　　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　"
is,"1. 〔現在進行形やbe going to do～ の形で用いる〕
2. 〔受け身の文を作る〕　 "
may,"1. ～かもしれない、することがある
2. 〔May I ～? の形で〕 ～してもよいですか  　"
must,"1.～しなければならない
2.～に違いない
3. (must notの形で)～してはならない"
shall,《相手の意思をたずねて》　〔Shall I do ～ ?の形で〕 (私が）～しましょうか　　《Weの中に相手を含め、相手の意思をたずねて》　〔Shall we do ～?〕　(私たちは）～しましょうか
should,～したほうがよい、～すべきである
shouldn't,〔should notの短縮形〕～するべきではない
